,ITEM_CODE,Retailer Item Code,Description,BI_LIG_FLAG,BIR_BY_VISIT,BIR_BY_SALES,BIR_BY_REG_PRICE,BI_APPEAR_NOS,BI_APPEAR_PER,A1_ITEM_CODE,A1_RET_ITEM_CODE,A1 Item Description,A1_LIG_FLAG,A1R_BY_VISIT,A1R_BY_SALES,A1R_BY_REG_PRICE,Visits(Base Item and A1 Purchased)#,Visits(Base Item and A1 Purchased)%,A2_ITEM_CODE,A2_RET_ITEM_CODE,A2_ITEM_DESC,A2_LIG_FLAG,A2R_BY_VISIT,A2R_BY_SALES,A2R_BY_REG_PRICE,A2_APPEAR_NOS,A2_APPEAR_PER,A3_ITEM_CODE,A3_RET_ITEM_CODE,A3_ITEM_DESC,A3_LIG_FLAG,A3R_BY_VISIT,A3R_BY_SALES,A3R_BY_REG_PRICE,A3_APPEAR_NOS,A3_APPEAR_PER,A4_ITEM_CODE,A4_RET_ITEM_CODE,A4_ITEM_DESC,A4_LIG_FLAG,A4R_BY_VISIT,A4R_BY_SALES,A4R_BY_REG_PRICE,A4_APPEAR_NOS,A4_APPEAR_PER,A5_ITEM_CODE,A5_RET_ITEM_CODE,A5_ITEM_DESC,A5_LIG_FLAG,A5R_BY_VISIT,A5R_BY_SALES,A5R_BY_REG_PRICE,A5_APPEAR_NOS,A5_APPEAR_PER
1,100704,2404000,PARKAY QTRS,0,329,348,925,50327,0.160144568,40321,9000351,BM LARBM EGGS DOZEN(369391),1,4,17,1213,4776,9.49,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,629,1.249826137,153449,71322665,BM 2% R/F PLASTIC 12300,0,3,1,798,93,0.184791464,12306,8924494,LAND O LAKES BUTTER QUARTERS(4801),1,22,6,63,10,0.01987005,123215,4828000,KR PHILA CRM CHS BRICK,0,32,29,613,2,0.00397401
2,100704,2404000,PARKAY QTRS,0,329,348,925,50327,0.160144568,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,4500,8.94,40321,9000351,BM LARBM EGGS DOZEN(369391),1,4,17,1213,629,1.249826137,153449,71322665,BM 2% R/F PLASTIC 12300,0,3,1,798,93,0.184791464,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,10,0.01987005,16759,8927004,DAISY SOUR CREAM(43876),1,33,62,930,3,0.005961015
3,100704,2404000,PARKAY QTRS,0,329,348,925,50327,0.160144568,40323,9000353,BM EGGS LARBM 18CT(369393),1,8,12,1071,3867,7.68,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,558,1.108748783,153449,71322665,BM 2% R/F PLASTIC 12300,0,3,1,798,86,0.170882429,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,14,0.02781807,17174,8929615,DAISY SOUR CREAM 24Z(137320),1,128,148,512,3,0.005961015
4,100704,2404000,PARKAY QTRS,0,329,348,925,50327,0.160144568,104799,1200505516,PARKAY WHIP SPRD SLVE 2/6.7Z,0,413,460,796,3705,7.36,40321,9000351,BM LARBM EGGS DOZEN(369391),1,4,17,1213,368,0.731217835,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,54,0.107298269,153449,71322665,BM 2% R/F PLASTIC 12300,0,3,1,798,9,0.017883045,22144,8936200,JELLO PUDDING 4PKS(228731),1,46,51,759,2,0.00397401
5,101881,391377692,B&L PORT WINE CHEESE CUP,0,563,509,336,16153,0.051400147,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,1392,8.62,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,170,1.05243608,40321,9000351,BM LARBM EGGS DOZEN(369391),1,4,17,1213,36,0.222868817,32979,9001988,BM SINGLE SLICED CHEESE(15033),1,12,19,944,8,0.049526404,12374,8922091,PILLS BIS  13.68(2548),1,157,146,749,2,0.012381601
6,101881,391377692,B&L PORT WINE CHEESE CUP,0,563,509,336,16153,0.051400147,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,1194,7.39,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,170,1.05243608,40321,9000351,BM LARBM EGGS DOZEN(369391),1,4,17,1213,36,0.222868817,32979,9001988,BM SINGLE SLICED CHEESE(15033),1,12,19,944,8,0.049526404,12374,8922091,PILLS BIS  13.68(2548),1,157,146,749,2,0.012381601
7,101881,391377692,B&L PORT WINE CHEESE CUP,0,563,509,336,16153,0.051400147,40321,9000351,BM LARBM EGGS DOZEN(369391),1,4,17,1213,993,6.15,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,158,0.978146474,15461,8921724,BM BUTTER 1/4'S(259465),1,6,4,627,36,0.222868817,32979,9001988,BM SINGLE SLICED CHEESE(15033),1,12,19,944,8,0.049526404,16759,8927004,DAISY SOUR CREAM(43876),1,33,62,930,2,0.012381601
8,101881,391377692,B&L PORT WINE CHEESE CUP,0,563,509,336,16153,0.051400147,12404,8922378,HELUVA GOOD DIP 12 OZ(4246),1,19,35,1326,926,5.73,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,102,0.631461648,40252,9000337,TROP 52 OZ CARAFE(211030),1,11,7,477,18,0.111434408,40323,9000353,BM EGGS LARBM 18CT(369393),1,8,12,1071,5,0.030954002,13377,8926201,BM SHRED CHEESE 32 OZ(163494),1,27,9,65,2,0.012381601
9,104799,1200505516,PARKAY WHIP SPRD SLVE 2/6.7Z,0,413,460,796,34401,0.109466753,100704,2404000,PARKAY QTRS,0,329,348,925,3705,10.77,40321,9000351,BM LARBM EGGS DOZEN(369391),1,4,17,1213,368,1.069736345,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,54,0.156972181,153449,71322665,BM 2% R/F PLASTIC 12300,0,3,1,798,9,0.02616203,22144,8936200,JELLO PUDDING 4PKS(228731),1,46,51,759,2,0.005813784
10,104799,1200505516,PARKAY WHIP SPRD SLVE 2/6.7Z,0,413,460,796,34401,0.109466753,40321,9000351,BM LARBM EGGS DOZEN(369391),1,4,17,1213,3363,9.78,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,498,1.447632336,100704,2404000,PARKAY QTRS,0,329,348,925,54,0.156972181,153449,71322665,BM 2% R/F PLASTIC 12300,0,3,1,798,9,0.02616203,22144,8936200,JELLO PUDDING 4PKS(228731),1,46,51,759,2,0.005813784
11,104799,1200505516,PARKAY WHIP SPRD SLVE 2/6.7Z,0,413,460,796,34401,0.109466753,12664,8921878,BEST MARKETS FANCY SHRED CHEESE(10976),1,1,2,990,2977,8.65,40321,9000351,BM LARBM EGGS DOZEN(369391),1,4,17,1213,498,1.447632336,100704,2404000,PARKAY QTRS,0,329,348,925,54,0.156972181,153449,71322665,BM 2% R/F PLASTIC 12300,0,3,1,798,9,0.02616203,22144,8936200,JELLO PUDDING 4PKS(228731),1,46,51,759,2,0.005813784
